"","Var1","Freq"
"1","",1004
"2","AE",637
"3","AF",5
"4","AG",1
"5","AL",5
"6","AM",26
"7","AO",4
"8","AR",116
"9","AS",32
"10","AT",114
"11","AU",1731
"12","AW",4
"13","AZ",9
"14","BA",7
"15","BB",7
"16","BD",81
"17","BE",185
"18","BF",2
"19","BG",16
"20","BH",73
"21","BI",1
"22","BJ",4
"23","BM",7
"24","BN",47
"25","BO",14
"26","BQ",1
"27","BR",336
"28","BS",2
"29","BW",5
"30","BY",10
"31","CA",1541
"32","CD",3
"33","CG",1
"34","CH",466
"35","CI",5
"36","CL",196
"37","CM",4
"38","CN",3564
"39","CO",116
"40","CR",34
"41","CW",12
"42","CY",17
"43","CZ",93
"44","DE",1307
"45","DK",132
"46","DM",5
"47","DO",20
"48","DZ",20
"49","EC",21
"50","EE",20
"51","EG",73
"52","ES",297
"53","ET",10
"54","FI",75
"55","FJ",14
"56","FM",2
"57","FO",2
"58","FR",817
"59","GA",2
"60","GB",1481
"61","GD",2
"62","GE",8
"63","GF",2
"64","GH",13
"65","GI",1
"66","GL",1
"67","GP",3
"68","GR",79
"69","GT",41
"70","GU",19
"71","GY",4
"72","HK",1686
"73","HN",8
"74","HR",8
"75","HT",2
"76","HU",64
"77","ID",679
"78","IE",108
"79","IL",350
"80","IN",838
"81","IQ",22
"82","IS",19
"83","IT",567
"84","JM",8
"85","JO",23
"86","JP",3089
"87","KE",34
"88","KG",3
"89","KH",58
"90","KN",4
"91","KR",1425
"92","KW",132
"93","KY",6
"94","KZ",13
"95","LA",2
"96","LB",15
"97","LC",4
"98","LI",3
"99","LK",87
"100","LR",1
"101","LS",5
"102","LT",15
"103","LU",27
"104","LV",10
"105","LY",2
"106","MA",31
"107","MC",7
"108","MD",6
"109","MG",11
"110","MH",1
"111","MK",4
"112","ML",2
"113","MN",7
"114","MO",69
"115","MP",1
"116","MQ",1
"117","MR",4
"118","MT",22
"119","MU",34
"120","MV",9
"121","MW",7
"122","MX",388
"123","MY",1530
"124","MZ",9
"125","NA",10
"126","NC",6
"127","NE",1
"128","NG",35
"129","NI",4
"130","NL",396
"131","NO",113
"132","NP",12
"133","NZ",477
"134","OM",69
"135","PA",17
"136","PE",76
"137","PF",9
"138","PG",9
"139","PH",787
"140","PK",71
"141","PL",166
"142","PR",87
"143","PT",53
"144","PW",1
"145","PY",3
"146","QA",158
"147","RE",3
"148","RO",43
"149","RS",17
"150","RU",170
"151","SA",339
"152","SC",5
"153","SE",149
"154","SG",2099
"155","SI",20
"156","SK",22
"157","SN",5
"158","SV",15
"159","SX",4
"160","SZ",11
"161","TD",2
"162","TG",2
"163","TH",1243
"164","TN",10
"165","TO",6
"166","TR",152
"167","TT",21
"168","TW",1605
"169","TZ",11
"170","UA",52
"171","UG",10
"172","US",14877
"173","UY",28
"174","UZ",9
"175","VC",1
"176","VG",3
"177","VI",5
"178","VN",1284
"179","ZA",113
"180","ZM",2
"181","ZW",5
